Title,Price,Rating,Stock
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",36.28,2,In stock
Patience,10.16,3,In stock
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",15.44,4,In stock
orange: The Complete Collection 1 (orange: The Complete Collection #1),48.41,1,In stock
Online Marketing for Busy Authors: A Step-By-Step Guide,46.35,1,In stock
On a Midnight Clear,14.07,3,In stock
Obsidian (Lux #1),14.86,2,In stock
My Paris Kitchen: Recipes and Stories,33.37,2,In stock
Masks and Shadows,56.4,2,In stock
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",14.02,4,In stock
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",46.91,2,In stock
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",45.61,3,In stock
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),19.92,2,In stock
"Layered: Baking, Building, and Styling Spectacular Cakes",40.11,1,In stock
Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),53.9,2,In stock
Join,35.67,5,In stock
In the Country We Love: My Family Divided,22.0,4,In stock
